District,Rainfall 
NICOBAR,225.6
NORTH ANDAMAN,385.5
MIDDLE ANDAMAN,385.5
SOUTH ANDAMAN,291.7
ANJAW,61.2
CHANGLANG,296.5
DIBANG VALLEY,221.4
EAST KAMENG,385.5
EAST SIANG,623.2
KURUNG KUMEY,202.7
LOHIT,238.1
LOWER DIBANG VALLEY,470.5
LOWER SUBANSIRI,201
PAPUM-PARE,706
TAWANG,160.7
TIRAP,420.7
UPPER SIANG,448.5
UPPER SUBANSIRI,108.2
WEST KAMENG,232.5
WEST SIANG,294.6
BAKSA,460.4
BARPETA,534
BONGAIGAON,197.8
CACHAR,464.5
CHIRANG,457.8
DARRANG,244.8
DHEMAJI,764.5
DHUBRI,147.5
DIBRUGARH,356.3
GOALPARA,442.8
GOLAGHAT,227.6
HAILAKANDI,283.1
JORHAT,304.3
KAMRUP METRO,227.1
KAMRUP RURAL,383.8
KARBI ANALOG,112.7
KARIMGANJ,348.6
KOKRAJHAR,511.7
LAKHIMPUR,626.5
MORIGAON,162
N.C HILLS,256.9
NAGAON,132.4
NALBARI,555.1
SIBSAGAR,305.5
SONITPUR,408.6
TINSUKIA,300.4
UDALGURI,255.6
EAST GARO HILLS,873
EAST KHASI HILLS,874.5
JAINTIA HILLS,527.2
RI BHOI,234.6
SOUTH GARO HILLS,456.8
WEST GARO HILLS,229.8
WEST KHASI HILLS,295
DIMAPUR,110.5
KIPHIRE,110.3
KOHIMA,155.2
LONGLENG,259.7
MOKOKCHUNG,321.9
MON,297.8
PEREN,148
PHEK,125.4
TUENSANG,252.3
WOKHA,223.6
ZUNHEBOTO,275.6
BISHNUPUR,154.8
CHANDEL,161.3
CHURACHANDPUR,89.7
IMPHAL EAST,102.1
IMPHAL WEST,487.4
SENAPATI,159.6
TAMENGLONG,582.6
THOUBAL,136.4
UKHRUL,225
AIZAWL,196.9
CHAMPHAI,275.2
KOLASIB,377.2
LAWNGTLAI,308.1
LUNGLEI,266.9
MAMIT,382.4
SAIHA,368.4
SERCHHIP,313.6
DHALAI,165.7
NORTH TRIPURA,201.6
SOUTH TRIPURA,362.1
WEST TRIPURA,268.7
EAST SIKKIM,487
NORTH SIKKIM,511.2
SOUTH SIKKIM,285.3
WEST SIKKIM,323.1
DAKSHIN DINAJPUR,178.5
DARJEELING,440.7
JALPAIGURI,459.4
KOCHBIHAR,364.3
MALDA,108.7
UTTAR DINAJPUR,173.6
BANKURA,543.3
BARDAMAN,415.4
BIRBHUM,281.5
EASTMEDNIPUR,335.1
HAORA,321
HUGLI,319.2
KOLKATA,394.2
MURSIDABAD,257.1
NADIA,245.6
NORTH 24 PRAGANAS,310.9
PASHCHIM MEDINIPUR,282.2
PURULIYA,324.2
SOUTH 24 PARGANAS,445.9
ANUGUL,145.4
BALANGIR,122.1
BALESHWAR,211.7
BARAGARH,210
BAUDA,123.1
BHADRAK,97
CUTTACK,236.5
DEOGARH,186.5
DHENKANAL,191.8
GAJAPATHI,104.5
GANJAM,79.5
JAGATSINGHAPUR,219.6
JAJAPUR,165.1
JHARSUGUDA,219.6
KALAHANDI,152.4
KANDHAMAL,132.7
KENDRAPARHA,245.7
KENDUJHAR,147
KHORDHA,187
KORAPUT,253.6
MALKANGIRI,187.6
MAYURBHANJ,176
NABARANGAPUR,174
NAYAGARH,144.1
NUAPARHA,178.9
PURI,221.6
RAYAGARHA,131.5
SAMBALPUR,209.1
SUBARNAPUR,202.8
SUNDARGARH,257.5
BOKARO,253.8
CHATRA,183
DEOGHAR,312.2
DHANBAD,444.6
DUMKA,298.3
EAST SINGHBHUM,276.7
GARHWA,200.8
GIRIDIH,346.3
GODDA,180.5
GUMLA,192.2
HAZARIBAGH,356.4
JAMTARA,492.2
KHUNTI,224.8
